Running job on gpu-5-11
Requested resources:
  - CPUs: 64
  - GPUs: 
  - Memory: 64000
Node counts to process: [30, 35, 40]
Processed generated_graphs/nodes_35/removal_85percent/graph_40.edgelist: Greedy MIS size = 13
Processed generated_graphs/nodes_40/removal_25percent/graph_38.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_40percent/graph_43.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_40/removal_50percent/graph_23.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_40/removal_65percent/graph_36.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_40/removal_75percent/graph_24.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_30/removal_15percent/graph_4.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_30/removal_30percent/graph_12.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_40percent/graph_21.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_50percent/graph_26.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_60percent/graph_47.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_30/removal_75percent/graph_38.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_35/removal_15percent/graph_10.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_35/removal_25percent/graph_33.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_35/removal_35percent/graph_30.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_35/removal_50percent/graph_20.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_60percent/graph_40.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_35/removal_75percent/graph_2.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_35/removal_85percent/graph_36.edgelist: Greedy MIS size = 14
Processed generated_graphs/nodes_40/removal_25percent/graph_17.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_40percent/graph_12.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_45percent/graph_22.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_40/removal_55percent/graph_6.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_40/removal_75percent/graph_36.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_30/removal_15percent/graph_7.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_30/removal_25percent/graph_42.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_30/removal_35percent/graph_43.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_50percent/graph_31.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_30/removal_65percent/graph_43.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_30/removal_80percent/graph_20.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_30/removal_85percent/graph_41.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_35/removal_25percent/graph_38.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_40percent/graph_45.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_35/removal_55percent/graph_6.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_35/removal_70percent/graph_4.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_40/removal_15percent/graph_24.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_40/removal_20percent/graph_4.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_35percent/graph_39.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_50percent/graph_14.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_40/removal_60percent/graph_4.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_40/removal_80percent/graph_5.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_30/removal_25percent/graph_31.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_45percent/graph_16.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_55percent/graph_3.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_30/removal_65percent/graph_33.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_30/removal_80percent/graph_11.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_35/removal_15percent/graph_24.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_35/removal_25percent/graph_30.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_35/removal_40percent/graph_32.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_35/removal_50percent/graph_37.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_60percent/graph_33.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_35/removal_75percent/graph_31.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_40/removal_15percent/graph_34.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_30percent/graph_10.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_45percent/graph_4.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_40/removal_55percent/graph_17.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_40/removal_65percent/graph_28.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_40/removal_70percent/graph_42.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_30/removal_25percent/graph_3.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_30/removal_40percent/graph_49.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_30/removal_60percent/graph_12.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_30/removal_70percent/graph_27.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_30/removal_80percent/graph_8.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_35/removal_15percent/graph_6.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_35/removal_30percent/graph_40.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_45percent/graph_25.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_55percent/graph_35.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_65percent/graph_37.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_35/removal_75percent/graph_43.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_40/removal_15percent/graph_29.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_20percent/graph_39.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_35percent/graph_33.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_50percent/graph_6.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_40/removal_65percent/graph_22.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_40/removal_75percent/graph_9.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_30/removal_15percent/graph_43.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_30/removal_30percent/graph_5.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_40percent/graph_47.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_60percent/graph_21.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_30/removal_70percent/graph_41.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_30/removal_85percent/graph_6.edgelist: Greedy MIS size = 13
Processed generated_graphs/nodes_35/removal_25percent/graph_43.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_40percent/graph_46.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_55percent/graph_28.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_35/removal_65percent/graph_36.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_35/removal_75percent/graph_47.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_40/removal_15percent/graph_37.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_40/removal_25percent/graph_50.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_40percent/graph_40.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_50percent/graph_18.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_40/removal_60percent/graph_35.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_40/removal_75percent/graph_14.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_30/removal_20percent/graph_48.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_35percent/graph_39.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_45percent/graph_43.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_60percent/graph_46.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_30/removal_75percent/graph_45.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_35/removal_15percent/graph_18.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_35/removal_25percent/graph_8.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_35percent/graph_46.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_35/removal_45percent/graph_40.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_60percent/graph_29.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_35/removal_70percent/graph_15.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_35/removal_80percent/graph_39.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_40/removal_25percent/graph_21.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_40percent/graph_15.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_50percent/graph_4.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_70percent/graph_25.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_40/removal_80percent/graph_43.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_30/removal_15percent/graph_45.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_30/removal_30percent/graph_24.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_45percent/graph_32.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_55percent/graph_41.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_30/removal_65percent/graph_6.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_30/removal_80percent/graph_45.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_35/removal_20percent/graph_39.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_35percent/graph_41.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_50percent/graph_32.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_35/removal_65percent/graph_1.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_35/removal_75percent/graph_7.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_40/removal_15percent/graph_49.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_40/removal_35percent/graph_36.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_45percent/graph_1.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_40/removal_55percent/graph_39.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_40/removal_60percent/graph_46.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_40/removal_80percent/graph_50.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_30/removal_15percent/graph_33.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_30/removal_30percent/graph_11.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_35percent/graph_44.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_50percent/graph_29.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_30/removal_60percent/graph_23.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_30/removal_70percent/graph_3.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_30/removal_80percent/graph_31.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_35/removal_15percent/graph_40.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_35/removal_30percent/graph_41.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_45percent/graph_33.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_60percent/graph_23.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_35/removal_75percent/graph_37.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_40/removal_15percent/graph_17.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_40/removal_25percent/graph_3.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_40percent/graph_14.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_55percent/graph_49.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_40/removal_75percent/graph_41.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_40/removal_85percent/graph_21.edgelist: Greedy MIS size = 16
Processed generated_graphs/nodes_30/removal_25percent/graph_17.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_30/removal_40percent/graph_2.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_50percent/graph_4.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_30/removal_65percent/graph_20.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_30/removal_75percent/graph_16.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_30/removal_85percent/graph_12.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_35/removal_20percent/graph_22.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_35/removal_30percent/graph_23.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_35/removal_40percent/graph_49.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_35/removal_50percent/graph_49.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_65percent/graph_32.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_35/removal_75percent/graph_8.edgelist: Greedy MIS size = 13
Processed generated_graphs/nodes_40/removal_15percent/graph_45.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_30percent/graph_2.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_45percent/graph_5.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_65percent/graph_23.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_40/removal_80percent/graph_16.edgelist: Greedy MIS size = 13
Processed generated_graphs/nodes_40/removal_85percent/graph_33.edgelist: Greedy MIS size = 15
Processed generated_graphs/nodes_30/removal_15percent/graph_27.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_30/removal_25percent/graph_6.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_40percent/graph_31.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_50percent/graph_6.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_30/removal_75percent/graph_22.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_30/removal_85percent/graph_45.edgelist: Greedy MIS size = 13
Processed generated_graphs/nodes_35/removal_20percent/graph_38.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_30percent/graph_14.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_40percent/graph_40.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_55percent/graph_26.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_35/removal_65percent/graph_49.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_35/removal_80percent/graph_22.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_40/removal_15percent/graph_7.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_40/removal_30percent/graph_30.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_40percent/graph_3.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_50percent/graph_24.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_40/removal_60percent/graph_45.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_40/removal_80percent/graph_34.edgelist: Greedy MIS size = 13
Processed generated_graphs/nodes_40/removal_85percent/graph_28.edgelist: Greedy MIS size = 16
Processed generated_graphs/nodes_30/removal_20percent/graph_31.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_30/removal_30percent/graph_49.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_45percent/graph_40.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_30/removal_60percent/graph_42.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_30/removal_75percent/graph_50.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_35/removal_15percent/graph_7.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_30percent/graph_16.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_35/removal_35percent/graph_8.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_35/removal_55percent/graph_12.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_35/removal_60percent/graph_45.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_35/removal_70percent/graph_40.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_35/removal_85percent/graph_3.edgelist: Greedy MIS size = 13
Processed generated_graphs/nodes_40/removal_25percent/graph_29.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_30percent/graph_41.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_55percent/graph_16.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_40/removal_65percent/graph_46.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_40/removal_80percent/graph_18.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_30/removal_25percent/graph_14.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_35percent/graph_23.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_45percent/graph_17.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_50percent/graph_46.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_30/removal_65percent/graph_21.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_30/removal_80percent/graph_39.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_35/removal_20percent/graph_11.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_30percent/graph_39.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_35/removal_45percent/graph_15.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_35/removal_55percent/graph_2.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_35/removal_70percent/graph_19.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_35/removal_80percent/graph_47.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_40/removal_20percent/graph_37.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_35percent/graph_13.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_50percent/graph_28.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_40/removal_60percent/graph_32.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_40/removal_80percent/graph_6.edgelist: Greedy MIS size = 13
Processed generated_graphs/nodes_30/removal_25percent/graph_20.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_35percent/graph_41.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_50percent/graph_33.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_30/removal_65percent/graph_3.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_30/removal_80percent/graph_3.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_35/removal_15percent/graph_45.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_35/removal_30percent/graph_19.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_45percent/graph_10.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_55percent/graph_38.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_70percent/graph_11.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_35/removal_80percent/graph_25.edgelist: Greedy MIS size = 13
Processed generated_graphs/nodes_40/removal_15percent/graph_39.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_40/removal_25percent/graph_8.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_40percent/graph_6.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_40/removal_55percent/graph_43.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_40/removal_70percent/graph_17.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_40/removal_80percent/graph_15.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_30/removal_25percent/graph_24.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_40percent/graph_39.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_50percent/graph_24.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_60percent/graph_34.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_30/removal_70percent/graph_43.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_30/removal_80percent/graph_5.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_35/removal_20percent/graph_21.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_30percent/graph_7.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_35/removal_45percent/graph_18.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_55percent/graph_46.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_35/removal_70percent/graph_22.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_35/removal_80percent/graph_42.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_40/removal_20percent/graph_29.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_35percent/graph_37.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_50percent/graph_13.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_40/removal_60percent/graph_29.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_40/removal_70percent/graph_6.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_30/removal_15percent/graph_21.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_30/removal_30percent/graph_46.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_45percent/graph_1.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_30/removal_55percent/graph_1.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_30/removal_65percent/graph_13.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_30/removal_75percent/graph_35.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_30/removal_85percent/graph_5.edgelist: Greedy MIS size = 13
Processed generated_graphs/nodes_35/removal_25percent/graph_35.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_35/removal_40percent/graph_43.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_35/removal_50percent/graph_35.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_65percent/graph_41.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_35/removal_85percent/graph_19.edgelist: Greedy MIS size = 13
Processed generated_graphs/nodes_40/removal_20percent/graph_42.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_35percent/graph_8.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_40/removal_55percent/graph_9.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_40/removal_70percent/graph_15.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_40/removal_75percent/graph_8.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_30/removal_25percent/graph_30.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_40percent/graph_30.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_55percent/graph_24.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_30/removal_70percent/graph_13.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_30/removal_85percent/graph_26.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_35/removal_25percent/graph_22.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_40percent/graph_15.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_50percent/graph_31.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_35/removal_65percent/graph_13.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_35/removal_85percent/graph_12.edgelist: Greedy MIS size = 13
Processed generated_graphs/nodes_40/removal_15percent/graph_43.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_40/removal_35percent/graph_11.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_40percent/graph_20.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_55percent/graph_18.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_40/removal_70percent/graph_44.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_30/removal_20percent/graph_5.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_30/removal_35percent/graph_37.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_55percent/graph_40.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_30/removal_70percent/graph_50.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_35/removal_15percent/graph_11.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_35/removal_30percent/graph_31.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_40percent/graph_35.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_55percent/graph_24.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_35/removal_65percent/graph_4.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_35/removal_75percent/graph_39.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_40/removal_15percent/graph_27.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_25percent/graph_39.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_40percent/graph_31.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_50percent/graph_45.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_40/removal_65percent/graph_12.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_40/removal_70percent/graph_26.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_40/removal_80percent/graph_27.edgelist: Greedy MIS size = 13
Processed generated_graphs/nodes_40/removal_85percent/graph_47.edgelist: Greedy MIS size = 16
Processed generated_graphs/nodes_30/removal_20percent/graph_40.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_30/removal_35percent/graph_16.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_45percent/graph_46.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_30/removal_60percent/graph_28.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_30/removal_70percent/graph_24.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_30/removal_80percent/graph_13.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_35/removal_20percent/graph_24.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_35/removal_35percent/graph_19.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_45percent/graph_6.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_60percent/graph_47.edgelist: Greedy MIS size = 7
