Coefficient,Nodes,Trial,Epsilon,Seed,GroundTruth_MIS,Greedy_MIS,Size_S,Oracle_MIS,Improvement
1,5000,0,0.05,0,2539,2539,4999,2539,0
1,5000,0,0.1,0,2539,2539,4984,2527,-12
1,5000,0,0.15,0,2539,2539,4871,2440,-99
1,5000,0,0.2,0,2539,2539,4610,2276,-263
1,5000,0,0.25,0,2539,2539,4038,2515,-24
1,5000,1,0.05,42,2560,2547,4995,2545,-2
1,5000,1,0.1,42,2560,2547,4983,2538,-9
1,5000,1,0.15,42,2560,2547,4896,2471,-76
1,5000,1,0.2,42,2560,2547,4651,2549,2
1,5000,1,0.25,42,2560,2547,4047,2534,-13
1,5000,2,0.05,84,2542,2542,4998,2542,0
1,5000,2,0.1,84,2542,2542,4986,2542,0
1,5000,2,0.15,84,2542,2542,4903,2540,-2
1,5000,2,0.2,84,2542,2542,4698,2533,-9
1,5000,2,0.25,84,2542,2542,4143,2514,-28
1,5000,3,0.05,126,2554,2554,4999,2554,0
1,5000,3,0.1,126,2554,2554,4984,2552,-2
1,5000,3,0.15,126,2554,2554,4904,2551,-3
1,5000,3,0.2,126,2554,2554,4683,2550,-4
1,5000,3,0.25,126,2554,2554,4114,2524,-30
1,5000,4,0.05,168,2540,2540,4998,2539,-1
1,5000,4,0.1,168,2540,2540,4976,2539,-1
1,5000,4,0.15,168,2540,2540,4900,2538,-2
1,5000,4,0.2,168,2540,2540,4682,2530,-10
1,5000,4,0.25,168,2540,2540,4123,2516,-24
2,5000,0,0.05,0,2500,2480,5000,2480,0
2,5000,0,0.1,0,2500,2480,4998,2478,-2
2,5000,0,0.15,0,2500,2480,4915,2392,-88
2,5000,0,0.2,0,2500,2480,4574,2479,-1
2,5000,0,0.25,0,2500,2480,3869,2497,17
2,5000,1,0.05,42,2501,2481,5000,2481,0
2,5000,1,0.1,42,2501,2481,4993,2474,-7
2,5000,1,0.15,42,2501,2481,4945,2424,-57
2,5000,1,0.2,42,2501,2481,4576,2472,-9
2,5000,1,0.25,42,2501,2481,3765,2496,15
2,5000,2,0.05,84,2500,2480,5000,2480,0
2,5000,2,0.1,84,2500,2480,4998,2478,-2
2,5000,2,0.15,84,2500,2480,4939,2418,-62
2,5000,2,0.2,84,2500,2480,4612,2476,-4
2,5000,2,0.25,84,2500,2480,3819,2497,17
2,5000,3,0.05,126,2501,2476,5000,2476,0
2,5000,3,0.1,126,2501,2476,4994,2470,-6
2,5000,3,0.15,126,2501,2476,4923,2386,-90
2,5000,3,0.2,126,2501,2476,4580,2484,8
2,5000,3,0.25,126,2501,2476,3912,2501,25
2,5000,4,0.05,168,2501,2489,5000,2489,0
2,5000,4,0.1,168,2501,2489,4994,2483,-6
2,5000,4,0.15,168,2501,2489,4935,2411,-78
2,5000,4,0.2,168,2501,2489,4626,1983,-506
2,5000,4,0.25,168,2501,2489,3881,2498,9
3,5000,0,0.05,0,2500,2469,5000,2469,0
3,5000,0,0.1,0,2500,2469,4999,2468,-1
3,5000,0,0.15,0,2500,2469,4915,2374,-95
3,5000,0,0.2,0,2500,2469,4458,2468,-1
3,5000,0,0.25,0,2500,2469,3495,2498,29
3,5000,1,0.05,42,2500,2471,5000,2471,0
3,5000,1,0.1,42,2500,2471,4996,2464,-7
3,5000,1,0.15,42,2500,2471,4946,2407,-64
3,5000,1,0.2,42,2500,2471,4525,2452,-19
3,5000,1,0.25,42,2500,2471,3497,2498,27
3,5000,2,0.05,84,2500,2473,5000,2473,0
3,5000,2,0.1,84,2500,2473,4998,2471,-2
3,5000,2,0.15,84,2500,2473,4931,2387,-86
3,5000,2,0.2,84,2500,2473,4482,2496,23
3,5000,2,0.25,84,2500,2473,3435,2500,27
3,5000,3,0.05,126,2500,2481,5000,2481,0
3,5000,3,0.1,126,2500,2481,4996,2477,-4
3,5000,3,0.15,126,2500,2481,4920,2367,-114
3,5000,3,0.2,126,2500,2481,4451,2491,10
3,5000,3,0.25,126,2500,2481,3517,2500,19
3,5000,4,0.05,168,2500,2466,5000,2466,0
3,5000,4,0.1,168,2500,2466,5000,2466,0
3,5000,4,0.15,168,2500,2466,4929,2366,-100
3,5000,4,0.2,168,2500,2466,4516,2481,15
3,5000,4,0.25,168,2500,2466,3518,2498,32
4,5000,0,0.05,0,2500,2254,5000,2254,0
4,5000,0,0.1,0,2500,2254,5000,2254,0
4,5000,0,0.15,0,2500,2254,4934,2421,167
4,5000,0,0.2,0,2500,2254,4339,2497,243
4,5000,0,0.25,0,2500,2254,3223,2500,246
4,5000,1,0.05,42,2500,2495,5000,2495,0
4,5000,1,0.1,42,2500,2495,4999,2494,-1
4,5000,1,0.15,42,2500,2495,4932,2403,-92
4,5000,1,0.2,42,2500,2495,4399,2486,-9
4,5000,1,0.25,42,2500,2495,3231,2500,5
4,5000,2,0.05,84,2500,2434,5000,2434,0
4,5000,2,0.1,84,2500,2434,4998,2432,-2
4,5000,2,0.15,84,2500,2434,4940,2386,-48
4,5000,2,0.2,84,2500,2434,4342,2497,63
4,5000,2,0.25,84,2500,2434,3147,2500,66
4,5000,3,0.05,126,2500,2343,5000,2343,0
4,5000,3,0.1,126,2500,2343,4997,2340,-3
4,5000,3,0.15,126,2500,2343,4919,2410,67
4,5000,3,0.2,126,2500,2343,4275,2500,157
4,5000,3,0.25,126,2500,2343,3243,2500,157
4,5000,4,0.05,168,2500,2302,5000,2302,0
4,5000,4,0.1,168,2500,2302,5000,2302,0
4,5000,4,0.15,168,2500,2302,4935,2386,84
4,5000,4,0.2,168,2500,2302,4390,2492,190
4,5000,4,0.25,168,2500,2302,3214,2500,198
5,5000,0,0.05,0,2500,2425,5000,2425,0
5,5000,0,0.1,0,2500,2425,5000,2425,0
5,5000,0,0.15,0,2500,2425,4900,2458,33
5,5000,0,0.2,0,2500,2425,4121,2496,71
5,5000,0,0.25,0,2500,2425,3041,2500,75
5,5000,1,0.05,42,2500,2476,5000,2476,0
5,5000,1,0.1,42,2500,2476,4999,2475,-1
5,5000,1,0.15,42,2500,2476,4934,2340,-136
5,5000,1,0.2,42,2500,2476,4206,2500,24
5,5000,1,0.25,42,2500,2476,3018,2499,23
5,5000,2,0.05,84,2500,2402,5000,2402,0
5,5000,2,0.1,84,2500,2402,4999,2401,-1
5,5000,2,0.15,84,2500,2402,4925,2383,-19
5,5000,2,0.2,84,2500,2402,4145,2500,98
5,5000,2,0.25,84,2500,2402,2990,2500,98
5,5000,3,0.05,126,2500,2445,5000,2445,0
5,5000,3,0.1,126,2500,2445,4997,2442,-3
5,5000,3,0.15,126,2500,2445,4903,2407,-38
5,5000,3,0.2,126,2500,2445,4108,2500,55
